Measuring Drosophila (fruit fly) activity during microgravity exposure,11543046,,"Important advances in the understanding of the aging process could be obtained through comprehension of the changes experienced by Drosophila melanogaster (fruit flies) during microgravity. Previous experiments flown on Cosmos satellites and various Space Shuttle missions have shown a significant decrease in the life span of young male Drosophila after microgravity exposure. Additionally, postflight analysis indicated an accelerated aging of the microgravity exposed male flies since they exhibited a significant decrease in mating ability and a consistently lower negative geotaxis response than the 1 g ground controls. The negative geotaxis response is the Drosophila's reaction to move opposite to the Earth's gravitational vector when disturbed in certain manners. Researchers have hypothesized that the accelerated aging, is due to an increased locomotor activity which causes a subsequent increase in mitochondrial activity. The increased mitochondrial activity, in turn, causes increased aging through accelerated damage to the mitochondrial system. An increase in locomotor activity was indicated by analyzing only a fraction (1/6th of a second) of the 15 minute video recordings of groups of Drosophila taken approximately every two days during a 14-day Space Shuttle flight. The increased locomotor activity may be related to the Drosophila's negative geotaxis response in that the flies may be reacting to the absence of normal gravity by continuously searching for the gravity vector. The aims of this study are to develop methods to accurately measure individual Drosophila activity, use these derived methods in 1 g to create a Drosophila activity baseline, and use the methods during short and long duration microgravity exposure (sounding rockets, parabolic flights, Space Shuttle, International Space Station, etc.) to examine Drosophila activity. The role of the negative geotaxis response on locomotor activity will be examined by using two strains of behaviorally selected Drosophila, one that exhibits a large or hyper negative geotaxis response and another that has a positive geotaxis response, in addition to examining flies with a normal or negative geotaxis response.",1999,"M S Miller, T S Keller, M S Miller, M S Miller, T S Keller, M S Miller"
"A molecular analysis of doublesex, a bifunctional gene that controls both male and female sexual differentiation in Drosophila melanogaster",2453394,10.1101/gad.2.4.477,"The doublesex (dsx) gene regulates somatic sexual differentiation in both sexes in Drosophila melanogaster. dsx has active but opposite negative regulatory functions in males and females. In males, the dsx locus represses the genes responsible for female sexual differentiation; male differentiation functions, not being repressed, are expressed. Conversely, in females, the dsx locus represses the genes involved in male sexual differentiation and the female sexual differentiation functions, not being repressed, are expressed. We have molecularly cloned the dsx locus by chromosomal walking and localized the gene within the cloned region by determining the positions of breakpoints of chromosomal rearrangements broken in dsx and in closely flanking regions. The dsx locus is about 40 kb in size. Its DNA is unique and appears to be organized in the same way in genomes of males and females. There is a developmentally and sexually regulated set of transcripts produced by the dsx locus. During the larval period, two sex-nonspecific dsx transcripts are produced. At the end of the larval period, these transcripts disappear and are replaced by a set of male-specific and female-specific transcripts. In adults, an additional male-specific transcript appears. Because genetic analysis has shown that transcription of the dsx locus must occur during the pupal period for proper sexual differentiation, we infer that the sex-specific transcripts seen during the pupal period correspond to the sex determination regulatory functions defined by mutational analysis. The regulation of dsx expression and possible roles of the other dsx transcripts are discussed.",1988,"B S Baker, M F Wolfner, B S Baker, M F Wolfner"
[Structure of the ARS element from telomeres of Drosophila melanogaster],3135241,,"We have determined the nucleotide sequence of 0.7 kb Drosophila DNA fragment specifying autonomous replication of plasmids in yeast. As shown by deletion mapping, the ARS consists of at least two domains: the core possessing the classical 11-member sequence 5'-TAAATATAAAT and the enhancer of no more than 92 nucleotide pairs located at the 3' end of the core. While comparing the sequence of the enhancer with those of 14 different ARS, we failed to detect essential homology regions. ARS elements' flanks, adjacent to the core that serve as enhancer, most probably have no regions detectable as consensus. It is suggested that they are responsible for the peculiar features of DNA secondary structure (bending, for instance) which are necessary for the interaction of proteins with ARS elements.",1988,"A I Gragerov, O N Danilevskaia, S A Didichenko, E N Kaverina, A I Gragerov, O N Danilevskaia, S A Didichenko, E N Kaverina"
"Analysis of mutants in chaoptin, a photoreceptor cell-specific glycoprotein in Drosophila, reveals its role in cellular morphogenesis",2449286,10.1016/0092-8674(88)90517-x,"Monoclonal antibody 24B10 (MAb24B10) specifically stains photoreceptor neurons in D. melanogaster. It recognizes a 160 kd glycoprotein localized to the extracellular face of the plasma membrane. Using an immunoscreen, we identified two mutations in the encoding gene that cause microvillar disorganization in developing rhabdomeres and disruption of the closely apposed membranes of adjacent cells. In accordance with the mutant phenotype, we have renamed this genetic locus chaoptic and the encoded glycoprotein, chaoptin. Immunoelectron microscopy indicates that chaoptin is distributed along the length of the microvillus. This localization and the morphological abnormalities in mutants support the hypothesis that chaoptin may mediate adhesion between closely apposed membranes. In principle, the immunoscreen utilized here can be used to identify mutations in any gene in Drosophila for which antibodies to the gene product are available.",1988,"D Van Vactor Jr, D E Krantz, R Reinke, S L Zipursky, D Van Vactor Jr, D E Krantz, R Reinke, S L Zipursky"
"Intercalary heterochromatin in Drosophila. III. Homology between DNA sequences from the Y chromosome, bases of polytene chromosome limbs, and chromosome 4 of D. melanogaster",3146482,10.1007/BF00292968,"Molecular and cytogenetic characteristics are given of a 2846 bp DNA sequence from the YDm12 clone, previously derived from the long arm of the Drosophila melanogaster Y chromosome. Sequence analysis revealed within it a 1176 bp fragment with 37 bp terminal inverted repeats, flanked by 6 bp direct repeats. This fragment (called ""element 1360"") appeared to be A-T rich, and was saturated with short direct and inverted repeats of different degrees of homology and consensus sequences for transcription, potential Z-DNA transition and autonomous replication. After in situ hybridization to polytene chromosomes, the element 1360 exhibited variable, strain-specifics location in the euchromatic parts of the chromosome arms, but constant heavy labelling of the X chromosome region 12E1-2, autosomal regions 42B1-3, 52A1-2, 62A1-2, 75B, 82C1-3, chromosome bases, the chromocentre and numerous sites of chromosome 4. The possible role of element 1360 in heterochromatin organization is discussed.",1988,"N G Kholodilov, V N Bolshakov, V M Blinov, V V Solovyov, I F Zhimulev, N G Kholodilov, V N Bolshakov, V M Blinov, V V Solovyov, I F Zhimulev"
"The Synthesized Plant Metabolite 3,4,5-Tri-O-Galloylquinic Acid Methyl Ester Inhibits Calcium Oxalate Crystal Growth in a Drosophila Model, Downregulates Renal Cell Surface Annexin A1 Expression, and Decreases Crystal Adhesion to Cells",29406740,10.1021/acs.jmedchem.7b01566,"The plant metabolite 3,4,5-tri-O-galloylquinic acid methyl ester (TGAME, compound 6) was synthesized, and its potential effect on calcium oxalate monohydrate (COM) crystal binding to the surface of Madin-Darby canine kidney cells type I (MDCKI) and crystal growth in a Drosophila melanogaster Malpighian tubule (MT) model were investigated. Membrane, cytosolic, and total annexin A1 (AxA1), Î±-enolase, and heat shock protein 90 (HSP90) amounts were examined by Western blot analysis after subcellular fractionation, then confirmed by immunofluorescence staining of cultured cells. Pretreatment of MDCKI cells with TGAME for up to 6 h significantly diminished COM crystal binding in a concentration-dependent manner. TGAME significantly inhibited AxA1 surface expression by immunofluorescence microscopy, whereas intracellular AxA1 increased. Western blot analysis confirmed AxA1 expression changes in the membrane and cytosolic fractions of compound-treated cells, whereas whole cell AxA1 remained unchanged. TGAME also significantly decreased the size, number, and growth of calcium oxalate (CaOx) crystals induced in a Drosophila melanogaster MT model and possessed a potent antioxidant activity in a DPPH assay.",2018,"Mohamed Abd El-Salam, Jairo Kenupp Bastos, Jing Jing Han, Daniel Previdi, Eduardo B Coelho, Paulo M Donate, Michael F Romero, John Lieske, Mohamed Abd El-Salam, Jairo Kenupp Bastos, Jing Jing Han, Daniel Previdi, Eduardo B Coelho, Paulo M Donate, Michael F Romero, John Lieske"
Argonaute2 attenuates active transcription by limiting RNA Polymerase II elongation in Drosophila melanogaster,30356106,10.1038/s41598-018-34115-1,"Increasing lines of evidence support that Argonaute2 (AGO2) harbors several nuclear functions in metazoa. In particular, Drosophila AGO2 modulates transcription of developmentally regulated genes; however, the molecular mechanisms behind AGO2 recruitment into chromatin and its function in transcription have not been deeply explored. In this study, we show that Drosophila AGO2 chromatin association depends on active transcription. In order to gain insight into how AGO2 controls transcription, we performed differential ChIP-seq analysis for RNA Polymerase II (Pol II) upon depletion of AGO2. Remarkably, we find specific accumulation of the elongating but not initiating form of Pol II after AGO2 knockdown, suggesting that AGO2 impairs transcription elongation. Finally, AGO2 also affects Negative Elongation Factor (NELF) chromatin association but not the Cyclin Dependent Kinase 9 (CDK9). Altogether, these results provide key insights into the molecular role of AGO2 in attenuating elongation of certain actively transcribed genes.",2018,"Ezequiel Nazer, Ryan K Dale, Cameron Palmer, Elissa P Lei, Ezequiel Nazer, Ryan K Dale, Cameron Palmer, Elissa P Lei"
Alternative Splicing of the Xmas mRNA Encoding the mRNA Export Protein in Drosophila melanogaster,29779104,10.1134/S1607672918020102,"It is shown that Drosophila melanogaster has Xmas mRNA whose alternative splicing leads to the formation of three transcripts: Xmas, Xmas-2, and Xmas-1. As a result, three proteins are synthesized: Xmas, Xmas-2, and, presumably, Xmas-1. The size of the Xmas protein is close to the size of its homologue in humans. Adult flies contain large amounts of this protein, whereas in embryos it is absent.",2018,"D V Kopytova, Yu V Il'in, E N Nabirochkina, D V Kopytova, Yu V Il'in, E N Nabirochkina"
"Toxicity, Phytochemical Composition, and Enzyme Inhibitory Activities of Some Indigenous Weed Plant Extracts in Fruit Fly, Drosophila melanogaster",29849696,10.1155/2018/2325659,"Drosophila melanogaster being used as model organism is considered as pest of homes, restaurants, and fruit markets. The damaged fruits are also reported to serve as a carrier for various diseases. The current study was designed to evaluate the toxicity of petroleum extract of some weed plants, namely, Euphorbia prostrata, Parthenium hysterophorus, Fumaria indica, Chenopodium murale, and Azadirachta indica, against D. melanogaster. Mortality at 10, 20, and 30% concentrations after 24 and 48 hours was found comparatively low. E. prostrata caused high mortality (51.64%) at 30% concentration and was found more toxic (LC50 27.76; P value 0.00) after 72 hours. A. indica showed high LC50 value (P value 0.15) compared to other weed plants. The combination of E. prostrata and Bti showed highest mortality (100%; LC50 12.49; P value 0.00) after 72 hours. Similarly, the same combination caused maximum reduction in the activity of AChE, AcP, AkP, Î±-Carboxyl, and Î²-Carboxyl enzymes. Phytochemical analysis showed the presence of flavonoids, saponins, tannins, steroids, cardiac glycosides, alkaloids, anthraquinones, and terpenoids. FTIR analysis of E. prostrata showed the presence of phenolic compounds. It is suggested that further studies are needed in order to incorporate weed plant extracts in combination with Bti for the management of fruit flies.",2018,"Bushra Riaz, Muhammad Kashif Zahoor, Muhammad Asif Zahoor, Humara Naz Majeed, Irum Javed, Aftab Ahmad, Farhat Jabeen, Muhammad Zulhussnain, Kishwar Sultana, Bushra Riaz, Muhammad Kashif Zahoor, Muhammad Asif Zahoor, Humara Naz Majeed, Irum Javed, Aftab Ahmad, Farhat Jabeen, Muhammad Zulhussnain, Kishwar Sultana"
Developmental nicotine exposure affects larval brain size and the adult dopaminergic system of Drosophila melanogaster,29898654,10.1186/s12861-018-0172-6,"Background:
      
    

    
      Pregnant women may be exposed to nicotine if they smoke or use tobacco products, nicotine replacement therapy, or via e-cigarettes. Prenatal nicotine exposure has been shown to have deleterious effects on the nervous system in mammals including changes in brain size and in the dopaminergic system. The genetic and molecular mechanisms for these changes are not well understood. A Drosophila melanogaster model for these effects of nicotine exposure could contribute to faster identification of genes and molecular pathways underlying these effects. The purpose of this study was to determine if developmental nicotine exposure affects the nervous system of Drosophila melanogaster, focusing on changes to brain size and the dopaminergic system at two developmental stages.
    

    
  


        Results:
      
    

    
      We reared flies on control or nicotine food from egg to 3rd instar larvae or from egg to adult and determined effectiveness of the nicotine treatment. We used immunohistochemistry to visualize the whole brain and dopaminergic neurons, using tyrosine hydroxylase as the marker. We measured brain area, tyrosine hydroxylase fluorescence, and counted the number of dopaminergic neurons in brain clusters. We detected an increase in larval brain hemisphere area, a decrease in tyrosine hydroxylase fluorescence in adult central brains, and a decrease in the number of neurons in the PPM3 adult dopaminergic cluster. We tested involvement of DÎ±7, one of the nicotinic acetylcholine receptor subunits, and found it was involved in eclosion, as previously described, but not involved in brain size.
    

    
  


        Conclusions:
      
    

    
      We conclude that developmental nicotine exposure in Drosophila melanogaster affects brain size and the dopaminergic system. Prenatal nicotine exposure in mammals has also been shown to have effects on brain size and in the dopaminergic system. This study further establishes Drosophila melanogaster as model organism to study the effects of developmental nicotine exposure. The genetic and molecular tools available for Drosophila research will allow elucidation of the mechanisms underlying the effects of nicotine exposure during development.",2018,"Melanie Morris, Ariel Shaw, Madison Lambert, Haley Halperin Perry, Eve Lowenstein, David Valenzuela, Norma Andrea Velazquez-Ulloa, Melanie Morris, Ariel Shaw, Madison Lambert, Haley Halperin Perry, Eve Lowenstein, David Valenzuela, Norma Andrea Velazquez-Ulloa"
Structures reveal opening of the store-operated calcium channel Orai,30160233,10.7554/eLife.36758,"The store-operated calcium (Ca2+) channel Orai governs Ca2+ influx through the plasma membrane of many non-excitable cells in metazoans. The channel opens in response to the depletion of Ca2+ stored in the endoplasmic reticulum (ER). Loss- and gain-of-function mutants of Orai cause disease. Our previous work revealed the structure of Orai with a closed pore. Here, using a gain-of-function mutation that constitutively activates the channel, we present an X-ray structure of Drosophila melanogaster Orai in an open conformation. Well-defined electron density maps reveal that the pore is dramatically dilated on its cytosolic side in comparison to the slender closed pore. Cations and anions bind in different regions of the open pore, informing mechanisms for ion permeation and Ca2+ selectivity. Opening of the pore requires the release of cytosolic latches. Together with additional X-ray structures of an unlatched-but-closed conformation, we propose a sequence for store-operated activation.",2018,"Xiaowei Hou, Shana R Burstein, Stephen Barstow Long, Xiaowei Hou, Shana R Burstein, Stephen Barstow Long"
Critical Point in Self-Organized Tissue Growth,29799239,10.1103/PhysRevLett.120.198102,"We present a theory of pattern formation in growing domains inspired by biological examples of tissue development. Gradients of signaling molecules regulate growth, while growth changes these graded chemical patterns by dilution and advection. We identify a critical point of this feedback dynamics, which is characterized by spatially homogeneous growth and proportional scaling of patterns with tissue length. We apply this theory to the biological model system of the developing wing of the fruit fly Drosophila melanogaster and quantitatively identify signatures of the critical point.",2018,"Daniel Aguilar-Hidalgo, Steffen Werner, Ortrud Wartlick, Marcos GonzÃ¡lez-GaitÃ¡n, Benjamin M Friedrich, Frank JÃ¼licher, Daniel Aguilar-Hidalgo, Steffen Werner, Ortrud Wartlick, Marcos GonzÃ¡lez-GaitÃ¡n, Benjamin M Friedrich, Frank JÃ¼licher"
Strong responses of Drosophila melanogaster microbiota to developmental temperature,29095113,10.1080/19336934.2017.1394558,"Physiological responses to changes in environmental conditions such as temperature may partly arise from the resident microbial community that integrates a wide range of bio-physiological aspects of the host. In the present study, we assessed the effect of developmental temperature on the thermal tolerance and microbial community of Drosophila melanogaster. We also developed a bacterial transplantation protocol in order to examine the possibility of reshaping the host bacterial composition and assessed its influence on the thermotolerance phenotype. We found that the temperature during development affected thermal tolerance and the microbial composition of male D. melanogaster. Flies that developed at low temperature (13Â°C) were the most cold resistant and showed the highest abundance of Wolbachia, while flies that developed at high temperature (31Â°C) were the most heat tolerant and had the highest abundance of Acetobacter. In addition, feeding newly eclosed flies with bacterial suspensions from intestines of flies developed at low temperatures changed the heat tolerance of recipient flies. However, we were not able to link this directly to a change in the host bacterial composition.",2018,"Neda N Moghadam, Pia Mai Thorshauge, Torsten N Kristensen, Nadieh de Jonge, Simon Bahrndorff, Henrik Kjeldal, Jeppe Lund Nielsen, Neda N Moghadam, Pia Mai Thorshauge, Torsten N Kristensen, Nadieh de Jonge, Simon Bahrndorff, Henrik Kjeldal, Jeppe Lund Nielsen"
Microbiota disruption leads to reduced cold tolerance in Drosophila flies,30291448,10.1007/s00114-018-1584-7,"It is now acknowledged that bacteria from gut microbiota deeply interact with their host by altering many physiological traits. Such interplay is likely to consequently affect stress tolerance. Here, we compared cold and heat tolerance of Drosophila melanogaster flies with undisrupted (control (Co)) versus disrupted gut microbiota (dechorionated eggs (De)). The disrupting treatment strongly reduced bacterial load in flies' guts, though 16S sequencing analysis did not evidence strong diversity changes in the remaining bacterial community. Both chill coma recovery and acute cold survival were repeatedly lower in De than in Co flies under our experimental conditions. However, heat tolerance was not consistently affected by gut disruption. Our results suggest that microbiota-related effects on the host can alter ecologically relevant traits such as thermal tolerance.",2018,"Youn Henry, HervÃ© Colinet, Youn Henry, HervÃ© Colinet"
Cucurbitacin B acts a potential insect growth regulator by antagonizing 20-hydroxyecdysone activity,29205800,10.1002/ps.4817,"Background:
      
    

    
      20-Hydroxyecdysone (20E), a crucial insect steroid hormone, can bind to its cognate nuclear receptor composed of ecdysone receptor (EcR) and ultraspiracle (USP) to activate expression of 20E-response genes, enabling subsequent metamorphosis. In this study, we tried to find out which steroid-like compounds can block insect metamorphosis effectively and provide useful information for biopesticide study. For this purpose, we screened 126 steroid-like compounds for possible 20E antagonists using a dual-luciferase reporter assay with Drosophila melanogaster Kc and Bombyx mori Bm12 cells.
    

    
  


        Results:
      
    

    
      Among 126 steroid-like compounds, three cucurbitacins (CucB, D and E) were identified as 20E antagonists in both Kc and Bm12 cells. Notably, CucB caused significant molting defects and mortality in both B. mori and D. melanogaster larvae, and dramatically hindered larval growth of Helicoverpa armigera by its anti-feeding activity.
    

    
  


        Conclusion:
      
    

    
      In vivo and in vitro experiments demonstrate that CucB acts as a potential insect growth regulator by antagonizing 20E activity and thus blocking molting and metamorphosis induced by 20E signaling. Â© 2017 Society of Chemical Industry.",2018,"Chuanshan Zou, Guifen Liu, Suning Liu, Shumin Liu, Qisheng Song, Jian Wang, Qili Feng, Yunlin Su, Sheng Li, Chuanshan Zou, Guifen Liu, Suning Liu, Shumin Liu, Qisheng Song, Jian Wang, Qili Feng, Yunlin Su, Sheng Li"
Temporally specific engagement of distinct neuronal circuits regulating olfactory habituation in Drosophila,30576281,10.7554/eLife.39569,"Habituation is the process that enables salience filtering, precipitating perceptual changes that alter the value of environmental stimuli. To discern the neuronal circuits underlying habituation to brief inconsequential stimuli, we developed a novel olfactory habituation paradigm, identifying two distinct phases of the response that engage distinct neuronal circuits. Responsiveness to the continuous odor stimulus is maintained initially, a phase we term habituation latency and requires Rutabaga Adenylyl-Cyclase-depended neurotransmission from GABAergic Antennal Lobe Interneurons and activation of excitatory Projection Neurons (PNs) and the Mushroom Bodies. In contrast, habituation depends on the inhibitory PNs of the middle Antenno-Cerebral Track, requires inner Antenno-Cerebral Track PN activation and defines a temporally distinct phase. Collectively, our data support the involvement of Lateral Horn excitatory and inhibitory stimulation in habituation. These results provide essential cellular substrates for future analyses of the molecular mechanisms that govern the duration and transition between these distinct temporal habituation phases.
    

    
  


        Editorial note:
      
    

    
      This article has been through an editorial process in which the authors decide how to respond to the issues raised during peer review. The Reviewing Editor's assessment is that all the issues have been addressed (see decision letter).",2018,"Ourania Semelidou, Summer F Acevedo, Efthimios Mc Skoulakis, Ourania Semelidou, Summer F Acevedo, Efthimios Mc Skoulakis"
Triple-Helical DNA in Drosophila Heterochromatin,30477098,10.3390/cells7120227,"Polynucleotide chains obeying Watson-Crick pairing are apt to form non-canonical complexes such as triple-helical nucleic acids. From early characterization in vitro, their occurrence in vivo has been strengthened by increasing evidence, although most remain circumstantial particularly for triplex DNA. Here, different approaches were employed to specify triple-stranded DNA sequences in the Drosophila melanogaster chromosomes. Antibodies to triplex nucleic acids, previously characterized, bind to centromeric regions of mitotic chromosomes and also to the polytene section 59E of mutant strains carrying the brown dominant allele, indicating that AAGAG tandem satellite repeats are triplex-forming sequences. The satellite probe hybridized to AAGAG-containing regions omitting chromosomal DNA denaturation, as expected, for the intra-molecular triplex DNA formation model in which single-stranded DNA coexists with triplexes. In addition, Thiazole Orange, previously described as capable of reproducing results obtained by antibodies to triple-helical DNA, binds to AAGAG repeats in situ thus validating both detection methods. Unusual phenotype and nuclear structure exhibited by Drosophila correlate with the non-canonical conformation of tandem satellite arrays. From the approaches that lead to the identification of triple-helical DNA in chromosomes, facilities particularly provided by Thiazole Orange use may broaden the investigation on the occurrence of triplex DNA in eukaryotic genomes.",2018,"Eduardo Gorab, Eduardo Gorab"
Parallel clinal variation in the mid-day siesta of Drosophila melanogaster implicates continent-specific targets of natural selection,30180162,10.1371/journal.pgen.1007612,"Similar to many diurnal animals, Drosophila melanogaster exhibits a mid-day siesta that is more robust as ambient temperature rises, an adaptive response aimed at minimizing exposure to heat. Mid-day siesta levels are partly regulated by the thermosensitive splicing of a small intron (termed dmpi8) found in the 3' untranslated region (UTR) of the circadian clock gene period (per). Using the well-studied D. melanogaster latitudinal cline along the eastern coast of Australia, we show that flies from temperate populations sleep less during the day compared to those from tropical regions. We identified combinations of four single nucleotide polymorphisms (SNPs) in the 3' UTR of per that yield several different haplotypes. The two most abundant of these haplotypes exhibit a reciprocal tropical-temperate distribution in relative frequency. Intriguingly, transgenic flies with the major tropical isoform manifest increased daytime sleep and reduced dmpi8 splicing compared to those carrying the temperate variant. Our results strongly suggest that for a major portion of D. melanogaster in Australia, thermal adaptation of daily sleep behavior included spatially varying selection on ancestrally derived polymorphisms in the per 3' UTR that differentially control dmpi8 splicing efficiency. Prior work showed that African flies from high altitudes manifest reduced mid-day siesta levels, indicative of parallel latitudinal and altitudinal adaptation across continents. However, geographical variation in per 3' UTR haplotypes was not observed for African flies, providing a compelling case for inter-continental variation in factors targeted by natural selection in attaining a parallel adaptation. We propose that the ability to calibrate mid-day siesta levels to better match local temperature ranges is a key adaptation contributing to the successful colonization of D. melanogaster beyond its ancestral range in the lowlands of Sub-Saharan Africa.",2018,"Yong Yang, Isaac Edery, Yong Yang, Isaac Edery"
In vitro transport of methotrexate by Drosophila Multidrug Resistance-associated Protein,30312334,10.1371/journal.pone.0205657,"Methotrexate (MTX) is a widely used chemotherapeutic agent, immune suppressant and antimalarial drug. It is a substrate of several human ABC proteins that confer multidrug resistance to cancer cells and determine compartmentalization of a wide range of physiological metabolites and endo or xenobiotics, by their primary active transport across biological membranes. The substrate specificity and tissue distribution of these promiscuous human ABC transporters show a high degree of redundancy, providing robustness to these key physiological and pharmacological processes, such as the elimination of toxins, e.g. methotrexate from the body. A similar network of proteins capable of transporting methotrexate has been recently suggested to exist in Drosophila melanogaster. One of the key players of this putative network is Drosophila Multidrug-resistance Associated Protein (DMRP). DMRP has been shown to be a highly active and promiscuous ABC transporter, capable of transporting various organic anions. Here we provide the first direct evidence that DMRP, expressed alone in a heterologous system lacking other, potentially functionally overlapping D. melanogaster organic anion transporters, is indeed able to transport methotrexate. Our in vitro results support the hypothesized but debated role of DMRP in in vivo methotrexate excretion.",2018,"Agnes Karasik, AndrÃ¡s VÃ¡radi, FlÃ³ra Szeri, Agnes Karasik, AndrÃ¡s VÃ¡radi, FlÃ³ra Szeri"
Frequencies of chromosomal inversions in Drosophila melanogaster in Fukushima after the nuclear power plant accident,29420572,10.1371/journal.pone.0192096,"In order to investigate genetic impact of a large amount of radionuclides released by the Fukushima Dai-ichi Nuclear Power Plant accident in 2011, we surveyed 2,304 haploid genomes of Drosophila melanogaster collected in three localities in Fukushima in 2012 and 2013 for chromosomal inversions. No unique inversion was found in 298 genomes in 2012 and only two in 2,006 genomes in 2013. The observed frequencies were even lower than the long-term average frequency of unique inversions in Japan. The common cosmopolitan inversions were also examined in Fukushima, Kyoto, and Iriomote (Okinawa) in 2012. Among three samples in Fukushima, the flies in Iizaka, where environmental radiation level was the highest, showed the lowest frequency of In(2L)t, but the highest frequency of In(3R)P, contrary to the expectation of decreasing of their frequencies in higher polluted areas. These results suggest that, at this level of genetic analysis, Fukushima populations of D. melanogaster would not have been negatively impacted following the release of radionuclides. Transposable P-element mobility was not likely to induce DNA damage solely or synergistically with radioactivity, because their transposition activity was totally repressed in the Fukushima strains. However, it should be noted that, because of limitations in access to the exclusion zone, we could only sample the populations in areas of relatively low radioactive contamination (0.39-0.63 Î¼Sv/h). Therefore, the present study is likely to be underpowered to detect any effects that might be expected in heavily contaminated areas.",2018,"Masanobu Itoh, Ryutaro Kajihara, Yasuko Kato, Toshiyuki Takano-Shimizu, Yutaka Inoue, Masanobu Itoh, Ryutaro Kajihara, Yasuko Kato, Toshiyuki Takano-Shimizu, Yutaka Inoue"
Drosophila HUWE1 Ubiquitin Ligase Regulates Endoreplication and Antagonizes JNK Signaling During Salivary Gland Development,30261639,10.3390/cells7100151,"The HECT-type ubiquitin ligase HECT, UBA and WWE Domain Containing 1, (HUWE1) regulates key cancer-related pathways, including the Myc oncogene. It affects cell proliferation, stress and immune signaling, mitochondria homeostasis, and cell death. HUWE1 is evolutionarily conserved from Caenorhabditis elegance to Drosophila melanogaster and Humans. Here, we report that the Drosophila ortholog, dHUWE1 (CG8184), is an essential gene whose loss results in embryonic lethality and whose tissue-specific disruption establishes its regulatory role in larval salivary gland development. dHUWE1 is essential for endoreplication of salivary gland cells and its knockdown results in the inability of these cells to replicate DNA. Remarkably, dHUWE1 is a survival factor that prevents premature activation of JNK signaling, thus preventing the disintegration of the salivary gland, which occurs physiologically during pupal stages. This function of dHUWE1 is general, as its inhibitory effect is observed also during eye development and at the organismal level. Epistatic studies revealed that the loss of dHUWE1 is compensated by dMyc proeitn expression or the loss of dmP53. dHUWE1 is therefore a conserved survival factor that regulates organ formation during Drosophila development.",2018,"Yifat Yanku, Eliya Bitman-Lotan, Yaniv Zohar, Estee Kurant, Norman Zilke, Martin Eilers, Amir Orian, Yifat Yanku, Eliya Bitman-Lotan, Yaniv Zohar, Estee Kurant, Norman Zilke, Martin Eilers, Amir Orian"
"Response of life-history traits to artificial and natural selection for virulence and nonvirulence in a Drosophila parastitoid, Asobara tabida",27943577,10.1111/1744-7917.12428,"Co-evolution of host-parasitoid interactions is determined by the costs of host resistance, which received empirical evidence, and the costs of parasitoid virulence, which have been mostly hypothesized. Asobara tabida is a parasitoid, which mainly parasitizes Drosophila melanogaster and D. subobscura, the first species being able to resist to the parasitoid development while the second species is not. To parasitize resistant hosts, including D. melanogaster, A. tabida develops sticky eggs, which prevent encapsulation, but this virulence mechanism may be costly. Interindividual and interpopulation variation in the proportion of sticky eggs respectively allowed us to (i) artificially select and compare life-history traits of a virulent and a nonvirulent laboratory strain, and (ii) compare a virulent and a nonvirulent field strain, to investigate the hypothetical costs of virulence. We observed strong differences between the 2 laboratory strains. The nonvirulent strain invested fewer resources in reproduction and walked less than the virulent one but lived longer. Concerning the field strains, we observed that the nonvirulent strain had larger wings while the virulent one walked more and faster. All together, our results suggest that virulence may not always be costly, but rather that different life histories associated with different levels of virulence may coexist at both intra- and interpopulation levels.",2018,"Joffrey Moiroux, Joan van Baaren, Mathilde Poyet, Aude Couty, Patrice Eslin, GeneviÃ¨ve PrÃ©vost, JÃ©rÃ©my SÃ©guin, Vincent Le Roux, Joffrey Moiroux, Joan van Baaren, Mathilde Poyet, Aude Couty, Patrice Eslin, GeneviÃ¨ve PrÃ©vost, JÃ©rÃ©my SÃ©guin, Vincent Le Roux"
Progeny of old parents have increased social space in Drosophila melanogaster,29487349,10.1038/s41598-018-21731-0,"We report the effects of aging and parental age in Drosophila melanogaster on two types of responses to social cues: the choice of preferred social spacing in an undisturbed group and the response to the Drosophila stress odorant (dSO) emitted by stressed flies. The patterns of changes during aging were notably different for these two social responses. Flies were initially closer in space and then became further apart. However, the pattern of change in response to dSO followed a more typical decline in performance, similarly to changes in locomotion. Interestingly, the increased social space of old parents, as well as their reduced performance in avoiding dSO, was passed on to their progeny, such that young adults adopted the behavioural characteristic of their old parents. While the response to social cues was inherited, the changes in locomotion were not. We were able to scale the changes in the social space of parents and their progeny by accelerating or decelerating the physiological process of aging by increasing temperatures and exposure to oxidative stress, or via caloric restriction, respectively. Finally, when we aged only one parent, only the male progeny of old fathers and the progeny of very old mothers were more distant.",2018,"Dova B Brenman-Suttner, Shirley Q Long, Vashine Kamesan, Jade N de Belle, Ryley T Yost, Rachelle L Kanippayoor, Anne F Simon, Dova B Brenman-Suttner, Shirley Q Long, Vashine Kamesan, Jade N de Belle, Ryley T Yost, Rachelle L Kanippayoor, Anne F Simon"
